,X,after_wrms_name,AlphiaID,gen_spp,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
18,18,Eleginops maclovinus,280634,Eleginops maclovinus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Eleginops,Eleginops maclovinus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642496,642813,NA,NA,NA,SP40
73,73,Channa striata,280130,Channa striata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Channoidei,Channidae,NA,Channa,Channa striata,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,162835,166661,NA,166662,166667,NA,NA,NA,SP103
81,81,Dascyllus melanurus,278451,Dascyllus melanurus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Dascyllus,Dascyllus melanurus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170044,NA,170121,170127,NA,NA,NA,SP111
83,83,Pomacentrus moluccensis,277159,Pomacentrus moluccensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Pomacentrus,Pomacentrus moluccensis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170044,NA,170150,615461,NA,NA,NA,SP113
71,71,Ictalurus furcatus,275329,Ictalurus furcatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Siluriformes,NA,Ictaluridae,NA,Ictalurus,Ictalurus furcatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,163992,NA,163995,NA,163996,163997,NA,NA,NA,SP101
64,64,Trachurus japonicus,273302,Trachurus japonicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Carangidae,Caranginae,Trachurus,Trachurus japonicus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168584,1228110,168585,642012,NA,NA,NA,SP43
80,80,Lophius litulon,272600,Lophius litulon,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Lophiiformes,Lophioidei,Lophiidae,NA,Lophius,Lophius litulon,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164495,164496,164497,NA,164498,690538,NA,NA,NA,SP110
89,89,Salvelinus malma,254570,Salvelinus malma,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,Salvelinus malma,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161999,162000,NA,NA,NA,SP119
24,24,Gadus macrocephalus,254538,Gadus macrocephalus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,Gadus macrocephalus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164710,164711,NA,NA,NA,SP58
19,19,Eleginus gracilis,254537,Eleginus gracilis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Eleginus,Eleginus gracilis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164707,164708,NA,NA,NA,SP57
45,45,Parophrys vetulus,254393,Parophrys vetulus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Parophrys,Parophrys vetulus,Pleuronectini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,172702,172707,172859,615941,172891,172921,615947,NA,NA,SP88
30,30,Harpagifer antarcticus,234825,Harpagifer antarcticus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Harpagiferidae,Harpagiferinae,Harpagifer,Harpagifer antarcticus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,553224,642445,642458,642860,NA,NA,NA,SP67
78,78,Trematomus bernacchii,234802,Trematomus bernacchii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,Trematomus bernacchii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642501,643036,NA,NA,NA,SP108
43,43,Pagothenia borchgrevinki,234801,Pagothenia borchgrevinki,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Pagothenia,Pagothenia borchgrevinki,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642531,642902,NA,NA,NA,SP90
91,91,Gymnodraco acuticeps,234800,Gymnodraco acuticeps,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Bathydraconidae,NA,Gymnodraco,Gymnodraco acuticeps,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171110,NA,171114,642589,NA,NA,NA,SP121
79,79,Trematomus pennellii,234709,Trematomus pennellii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,Trematomus pennellii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642501,643043,NA,NA,NA,SP109
76,76,Oreochromis mossambicus,218777,Oreochromis mossambicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,Oreochromis mossambicus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,169770,NA,170014,170015,NA,NA,NA,SP106
