initials,in_2.0_search,study_ID,complete?,fish_source,captive_#_generations,peer_reviewed,title,data_collection_year,pub_year,journal,thesis_chapter,supplementary-data,doi,citation-APA,notes
HM,,2_0094,yes,wild,,yes,,2014,NA,,no,,https://doi.org/10.1007/s00360-017-1124-3,Thermal windows and metabolic performance curves in a developing Antarctic fish,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
papers for jenn and nikki to look at,,,,,,,,,,,,,,,
2_0072,https://doi.org/10.1016/j.aquaculture.2007.06.026,,,,,,,,,,,,,,
